;taxno;taxno1;taxno2;Number;Genus;taxon;species;Subspecies;full.name;Lifecycle;PLOIDY;no_ploidy_lev;more_ploidies;ploidy_level;holoploid;monoploid;NewAPGFamily;Order;HigherGroup;reg_nat_main;reg_nat_island;reg_nat_total;GloNAF_incidence;reg_no_invasive;GloNAF_invasive;glonaf_3group;ploidy_level;ploidy_level_single
Carex_humilis;angiosperms;1angiosperms;2angiosperms;722;Carex;humilis;Carex_humilis;;Carex humilis ;P;D_P;2;2,4;2,4;1.22;0.61;Cyperaceae;Poales;M;NA;NA;NA;0;NA;0;0;2,4;2
Centaurea_alba;angiosperms;1angiosperms;2angiosperms;529;Centaurea;alba;Centaurea_alba;;Centaurea alba ;P;D_P;2;2,4;2,4;2.63;1.315;Asteraceae;Asterales;E;NA;NA;NA;0;NA;0;0;2,4;2
Centaurea_cuneifolia;angiosperms;1angiosperms;2angiosperms;529;Centaurea;cuneifolia;Centaurea_cuneifolia;;Centaurea cuneifolia ;P;D_P;2;2,4;2,4;2.51;1.255;Asteraceae;Asterales;E;NA;NA;NA;0;NA;0;0;2,4;2
Centaurea_jacea;angiosperms;1angiosperms;2angiosperms;529;Centaurea;jacea;Centaurea_jacea;;Centaurea jacea ;P;D_P;2;2,4;2,4;4.05;2.025;Asteraceae;Asterales;E;51;5;56;1;5;1;2;2,4;2
Centaurea_micranthos;angiosperms;1angiosperms;2angiosperms;776;Centaurea;micranthos;Centaurea_micranthos;;Centaurea micranthos ;P;D_P;2;2,4;2,4;2.34;1.17;Asteraceae;Asterales;E;12;NA;12;1;NA;0;1;2,4;2
Centaurea_montana;angiosperms;1angiosperms;2angiosperms;634;Centaurea;montana;Centaurea_montana;;Centaurea montana ;P;D_P;2;2,4;2,4;3.36;1.68;Asteraceae;Asterales;E;27;13;40;1;NA;0;1;2,4;2
Centaurea_nervosa;angiosperms;1angiosperms;2angiosperms;529;Centaurea;nervosa;Centaurea_nervosa;subsp. gheorghieffii;Centaurea nervosa subsp. gheorghieffii;P;D_P;2;2,4;2,4;3.16;1.58;Asteraceae;Asterales;E;NA;NA;NA;0;NA;0;0;2,4;2
Centaurea_scabiosa;angiosperms;1angiosperms;2angiosperms;783;Centaurea;scabiosa;Centaurea_scabiosa;;Centaurea scabiosa ;;D_P;2;2,4;2,4;3.98;1.99;Asteraceae;Asterales;E;26;5;31;1;1;1;2;2,4;2
Centaurea_stenolepis;angiosperms;1angiosperms;2angiosperms;529;Centaurea;stenolepis;Centaurea_stenolepis;;Centaurea stenolepis ;P;D_P;2;2,4;2,4;3.14;1.57;Asteraceae;Asterales;E;NA;NA;NA;0;NA;0;0;2,4;2
Centaurea_stoebe;angiosperms;1angiosperms;2angiosperms;529;Centaurea;stoebe;Centaurea_stoebe;;Centaurea stoebe ;P;D_P;2;2,4;2,4;2.45;1.225;Asteraceae;Asterales;E;66;1;67;1;65;1;2;2,4;2
Centaurium_erythraea;angiosperms;1angiosperms;2angiosperms;776;Centaurium;erythraea;Centaurium_erythraea;;Centaurium erythraea ;B;D_P;2;2,4;2,4;2.31;1.155;Gentianaceae;Gentianales;E;64;19;83;1;NA;0;1;2,4;2
Cirsium_rivulare;angiosperms;1angiosperms;2angiosperms;472;Cirsium;rivulare;Cirsium_rivulare;;Cirsium rivulare ;P;D_P;2;2,3;2,3;2.92;1.46;Asteraceae;Asterales;E;2;NA;2;1;NA;0;1;2,3;2
